Index,Molecule,Functional,Multiplicity,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
1,H2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,97.236463901,7.0,-1.1807093568376943,True
2,F2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1418.942158363,15.0,-199.61185023352374,True
3,HF,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,487.23390713,13.0,-100.5009339941746,True
5,O3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1595.569356076,20.0,-225.52661944472027,True
7,H2O,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,392.74584681,11.0,-76.47428543283127,True
8,H2O2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1311.067033486,20.0,-151.6304800235171,True
10,OF2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,3321.386227234,26.0,-274.80339769439854,True
12,N2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,601.665666219,10.0,-109.58062746363564,True
15,NH3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,455.452696661,12.0,-56.59467629475293,True
16,N2H2,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,908.332351938,14.0,-110.69165501822336,True
17,N2H4,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,100.0,1028.676936464,15.0,-111.92569369070226,True
20,NF3,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,2823.727696278,21.0,-354.26782746915313,True
24,N2O,b3lyp-g,1.0,1e-06,9.999999999999999e-06,1e-06,1.0.1,200.0,1673.898019654,18.0,-184.75568454084146,True
