Index,Molecule,Functional,Multiplicity,SpinRestricted,Precision,OrbitalThreshold,EnergyThreshold,MRChemVersion,Ncores,Walltime,SCFCycles,Energy,Completed
1,H2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,97.236463901,7,-1.1807093568376943,True
10,OF2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,3321.386227234,26,-274.80339769439854,True
12,N2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,601.665666219,10,-109.58062746363564,True
13,NH,B3LYP-G,3,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,629.22326508,9,-55.24995084849216,True
14,NH2,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,609.392926974,9,-55.911891478402325,True
15,NH3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,455.452696661,12,-56.59467629475293,True
16,N2H2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,908.332351938,14,-110.69165501822336,True
17,N2H4,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,1028.676936464,15,-111.92569369070226,True
2,F2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1418.942158363,15,-199.61185023352374,True
20,NF3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,2823.727696278,21,-354.26782746915313,True
24,N2O,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1673.898019654,18,-184.75568454084146,True
25,N2O3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,5464.37280723,24,-335.1502309608211,True
26,NOF3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,5691.48209217,25,-429.48389434745627,True
28,CH,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,451.174780945,8,-38.50053741438519,True
29,CH2,B3LYP-G,3,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,521.651888636,8,-39.17312222032022,True
3,HF,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,487.23390713,13,-100.5009339941746,True
30,CH3,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,561.789269188,7,-39.86349088229247,True
31,CH4,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1074.116835732,11,-40.542873908895686,True
32,C2H2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,731.298733798,11,-77.3716735056105,True
33,C2H4,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,730.862103883,13,-78.6315601409188,True
35,CF2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,1806.652712409,17,-237.8223660664558,True
37,CF4,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,3473.463320121,15,-437.7140445910649,True
38,CO,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,546.03744259,14,-113.37015603146952,True
39,CO2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,1830.172616278,15,-188.6822694532769,True
40,C3O,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1855.968889288,20,-189.48528183562541,True
42,HCN,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,1528.454179014,16,-93.47109190756794,True
43,HNC,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1343.317301185,15,-93.44893713260278,True
44,CH3F,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,885.560004352,15,-139.81833910189584,True
45,CH2F2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1633.542237291,16,-239.11276423796264,True
46,CHF3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,20083.983981279,16,-338.41518329959695,True
47,COF2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,3849.081451734,30,-312.67228223860275,True
49,BH,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,253.396229765,10,-25.3018451968399,True
5,O3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1595.569356076,20,-225.52661944472027,True
50,BH2,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,420.77578479,7,-25.949077152141697,True
51,BH3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,351.256598093,11,-26.62744077685258,True
52,BH4,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,575.351926687,7,-27.165632471943923,True
53,B2H4,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1113.490498603,13,-52.06748165718106,True
54,BF,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,645.842504025,13,-124.72964517624531,True
56,BF3,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1807.77728561,14,-324.73572322934046,True
57,B2F4,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,4187.308535658,14,-449.54108851517924,True
58,B2O2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1858.726501153,16,-200.3404920616121,True
6,OH,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,1285.006439157,16,-75.77602451384233,True
62,HBO2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,1231.142481245,16,-176.0805289082873,True
63,H2BF,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,838.139658178,14,-125.99645347760104,True
64,BeH,B3LYP-G,2,False,1e-06,9.999999999999999e-06,1e-06,1.0.1,120,264.608867834,6,-15.26826463558239,True
65,BeH2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,242.436631871,8,-15.926215314427843,True
67,BeF2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,3997.471739556,12,-214.72024411434793,True
68,BeO,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,100,492.07912835,15,-89.95146318054645,True
69,Li2,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,874.082308418,33,-15.019030427942896,True
7,H2O,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,392.74584681,11,-76.47428543283127,True
70,LiH,B3LYP-G,1,True,1e-06,9.999999999999999e-06,1e-06,1.0.1,200,171.454827637,9,-8.08877488539431,True
